Average Removal Rate: 1.75%
Average Total Lines: 14081.80
Total Lines Across All Files: 7843565
Average Characters per Line Across All Files: 26.55

File Statistics (Lines Removed, Total Lines, Avg Characters per Line):
paper_646.txt: 4.48% removed, 11283 total lines, 27.65 avg chars/line
paper_742.txt: 2.03% removed, 13188 total lines, 27.03 avg chars/line
paper_696.txt: 1.32% removed, 25745 total lines, 19.98 avg chars/line
paper_226.txt: 2.02% removed, 9123 total lines, 34.75 avg chars/line
paper_72.txt: 0.85% removed, 15448 total lines, 11.32 avg chars/line
paper_156.txt: 1.90% removed, 15501 total lines, 31.74 avg chars/line
paper_365.txt: 0.37% removed, 13446 total lines, 38.82 avg chars/line
paper_62.txt: 0.72% removed, 11904 total lines, 26.35 avg chars/line
paper_221.txt: 0.81% removed, 19817 total lines, 22.70 avg chars/line
paper_478.txt: 9.51% removed, 13812 total lines, 30.73 avg chars/line
paper_189.txt: 0.85% removed, 33599 total lines, 25.85 avg chars/line
paper_740.txt: 9.51% removed, 13812 total lines, 30.73 avg chars/line
paper_243.txt: 0.15% removed, 72676 total lines, 7.28 avg chars/line
paper_490.txt: 0.25% removed, 19617 total lines, 22.37 avg chars/line
paper_520.txt: 0.40% removed, 23084 total lines, 14.91 avg chars/line
paper_494.txt: 0.95% removed, 20796 total lines, 18.45 avg chars/line
paper_361.txt: 2.71% removed, 6962 total lines, 30.52 avg chars/line
paper_320.txt: 4.16% removed, 7985 total lines, 26.86 avg chars/line
paper_153.txt: 3.00% removed, 19246 total lines, 22.71 avg chars/line
paper_232.txt: 1.36% removed, 18148 total lines, 36.81 avg chars/line
paper_92.txt: 0.85% removed, 15546 total lines, 32.67 avg chars/line
paper_297.txt: 1.02% removed, 10830 total lines, 26.45 avg chars/line
paper_396.txt: 1.35% removed, 12840 total lines, 27.57 avg chars/line
paper_445.txt: 1.65% removed, 8220 total lines, 29.54 avg chars/line
paper_715.txt: 2.34% removed, 2437 total lines, 28.84 avg chars/line
paper_103.txt: 0.86% removed, 31096 total lines, 20.18 avg chars/line
paper_307.txt: 1.24% removed, 14141 total lines, 26.40 avg chars/line
paper_194.txt: 4.70% removed, 6259 total lines, 11.52 avg chars/line
paper_296.txt: 4.81% removed, 7064 total lines, 29.23 avg chars/line
paper_601.txt: 5.57% removed, 9025 total lines, 32.13 avg chars/line
paper_635.txt: 0.72% removed, 11904 total lines, 26.35 avg chars/line
paper_550.txt: 0.99% removed, 20543 total lines, 11.25 avg chars/line
paper_533.txt: 0.00% removed, 119 total lines, 8.37 avg chars/line
paper_392.txt: 1.09% removed, 17828 total lines, 26.88 avg chars/line
paper_372.txt: 0.44% removed, 11530 total lines, 24.22 avg chars/line
paper_357.txt: 1.19% removed, 27738 total lines, 31.20 avg chars/line
paper_110.txt: 0.34% removed, 23674 total lines, 31.48 avg chars/line
paper_648.txt: 2.89% removed, 8560 total lines, 37.81 avg chars/line
paper_269.txt: 0.45% removed, 11823 total lines, 28.85 avg chars/line
paper_135.txt: 0.34% removed, 23674 total lines, 31.48 avg chars/line
paper_694.txt: 1.03% removed, 21029 total lines, 26.06 avg chars/line
