index,author,etos_author,translator,etos_translator,title,text_filename
325,Voltaire,1694-1778,,,Ο Αγαθούλης,book_325_Voltaire.txt
326,Longus,,"Voutierides, El. P. (Elias P.)",1874-1941,Δάφνης και Χλόη,book_326_Longus.txt
327,Sophocles,496? BCE,"Voutierides, El. P. (Elias P.)",1874-1941,Οιδίπους επί Κολωνώ,book_327_Sophocles.txt
328,Euripides,481? BCE,"Voutierides, El. P. (Elias P.)",1874-1941,Ορέστης,book_328_Euripides.txt
329,"Vrailas-Armenes, Petros",1813,,,Η φιλοσοφία του Σωκράτους κατά A. Fouillée,book_329_Vrailas_Armenes_Petros.txt
330,"Vrokines, Laurentios S.",1847-1910,,,Σύντομος αφήγησις του βίου του Ιωάννου Καποδιστρίου,book_330_Vrokines_Laurentios_S.txt
331,"Vyzantios, D. K. (Demetrios Konstantinou)",1790-1853,,,"Η Βαβυλωνία ή η κατά τόπους διαφθορά της ελληνικής γλώσσης
Κωμωδία εις πέντε πράξεις",book_331_Vyzantios_D_K_Demetrios_Konstantinou.txt
332,"Vyzantios, D. K. (Demetrios Konstantinou)",1790-1853,,,Ο Σινάνης: Κωμωδία εις πέντε πράξεις,book_332_Vyzantios_D_K_Demetrios_Konstantinou.txt
333,"Wilde, Oscar",1854-1900,"Hatzigavriil, M.",,Ιδανικός σύζυγος: Δράμα εις τέσσαρας πράξεις,book_333_Wilde_Oscar.txt
334,"Wilde, Oscar",1854-1900,"Marpoutzoglou, Alex G.",,Στοχασμοί,book_334_Wilde_Oscar.txt
335,Xenophon,432 BCE-351,"Anastasopoulos, Demetrios",1873,Κύρου Ανάβασις Τόμος 1,book_335_Xenophon.txt
336,Xenophon,432 BCE-351,"Anastasopoulos, Demetrios",1873,Κύρου Ανάβασις Τόμος 2,book_336_Xenophon.txt
337,Aristotle,385 BCE-323 BCE,"Zambas, Kyriakos",1866,"Ηθικά Νικομάχεια, Τόμος Δεύτερος",book_337_Aristotle.txt
338,Aristotle,385 BCE-323 BCE,"Zambas, Kyriakos",1866,"Ηθικά Νικομάχεια, Τόμος Πρώτος",book_338_Aristotle.txt
339,Plato,428? BCE,"Zambas, Kyriakos",1866,Θεαίτητος,book_339_Plato.txt
340,Plato,428? BCE,"Zambas, Kyriakos",1866,"Ιππίας, Μείζων και Ελάσσων",book_340_Plato.txt
341,Plato,428? BCE,"Zambas, Kyriakos",1866,Κρατύλος,book_341_Plato.txt
342,Plato,428? BCE,"Zambas, Kyriakos",1866,"Νόμοι και Επινομίς, Τόμος B",book_342_Plato.txt
343,Plato,428? BCE,"Zambas, Kyriakos",1866,"Νόμοι και Επινομίς, Τόμος Α",book_343_Plato.txt
344,Plato,428? BCE,"Zambas, Kyriakos",1866,"Νόμοι και Επινομίς, Τόμος Γ",book_344_Plato.txt
345,Plato,428? BCE,"Zambas, Kyriakos",1866,"Νόμοι και Επινομίς, Τόμος Δ",book_345_Plato.txt
346,Plato,428? BCE,"Zambas, Kyriakos",1866,"Νόμοι και Επινομίς, Τόμος Ε",book_346_Plato.txt
347,Plato,428? BCE,"Zambas, Kyriakos",1866,Πολιτικός,book_347_Plato.txt
348,Plato,428? BCE,"Zambas, Kyriakos",1866,Σοφιστής,book_348_Plato.txt
349,Plato,428? BCE,"Zambas, Kyriakos",1866,Φίληβος,book_349_Plato.txt
350,Aristotle,385 BCE-323 BCE,"Zervos, I. (Ioannes)",1875-1944,Αθηναίων Πολιτεία,book_350_Aristotle.txt
351,Plato,428? BCE,"Zervos, I. (Ioannes)",1875-1944,Μενέξενоς,book_351_Plato.txt
352,Thucydides,456? BCE,"Zervos, I. (Ioannes)",1875-1944,"Πελοποννησιακός Πόλεμος, Τόμος δεύτερος",book_352_Thucydides.txt
353,Thucydides,456? BCE,"Zervos, I. (Ioannes)",1875-1944,"Πελοποννησιακός Πόλεμος, Τόμος πρώτος",book_353_Thucydides.txt
354,Thucydides,456? BCE,"Zervos, I. (Ioannes)",1875-1944,"Πελοποννησιακός Πόλεμος, Τόμος τέταρτος",book_354_Thucydides.txt
355,Thucydides,456? BCE,"Zervos, I. (Ioannes)",1875-1944,"Πελοποννησιακός Πόλεμος, Τόμος τρίτος",book_355_Thucydides.txt
356,Aeschylus,526 BCE-457 BCE,"Zervos, I. (Ioannes)",1875-1944,Πέρσαι,book_356_Aeschylus.txt
357,Aeschylus,526 BCE-457 BCE,"Zervos, I. (Ioannes)",1875-1944,Προμηθεύς Δεσμώτης,book_357_Aeschylus.txt
